name,skills,interest_area
William J.,"['Análise Estatística', 'Escrita Técnica', 'Inteligência Artificial', 'Modelagem Estatística', 'Testes A/B', 'Aprendizado de Máquina (ML)', 'Python', 'Análise de Dados', 'Aprendizagem Profunda', 'Ciência de Dados']","['Redação', 'Análise de Dados & Estatística', 'Engenharia & Arquitetura', 'Tecnologia da Informação']"
Oseias B.,"['Banco De Dados', 'Banco de Dados Relacionais', 'Big Data', 'Business Intelligence', 'Datatables', 'Desenvolvimento de Banco de Dados', 'Inteligência Artificial', 'Modelagem Estatística', 'Visualização de Dados']","['Banco de Dados', 'Cloud Computing', 'Outra - Web, Mobile & Software']"
Luis F.,"['CSS', 'Golang', 'HTML', 'Javascript', 'Python', 'React']","['Desenvolvimento Web', 'Cloud Computing', 'Teste de Software', 'Outra - Web, Mobile & Software']"
Thiago R.,"['ABBYY FineReader', 'Python']","['Banco de Dados', 'Desenvolvimento Web', 'Outra - Web, Mobile & Software']"
Myrla R.,"['Análise Estatística', 'Facebook Marketing', 'Google Analytics', 'Linguagem de Programação R', 'Marketing', 'Marketing de Conteúdo', 'Marketing Digital', 'Powerpoint']","['Marketing Digital', 'Gestão de Mídias Sociais', 'Análise de Dados & Estatística', 'Copywriting', 'Vendas & Marketing']"
Raissa V.,"['Artigos Acadêmicos', 'Assistente Virtual', 'Bilíngue', 'ABBYY FineReader', 'Design Educacional', 'Escrita Técnica', 'Matemática']","['Design Gráfico', 'Apresentação', 'Logotipos', 'Escrita & Conteúdo', 'Idiomas']"
Cecília B.,"['Business Intelligence', 'Estatísticas', 'Google Analytics', 'Agronegócio', 'Banco De Dados', 'eCommerce', 'ETL', 'Excel']","['Banco de Dados', 'Comercial', 'Pesquisa de Mercado', 'Outra - Vendas & Marketing', 'Planilhas e Relatórios', 'Análise de Dados & Estatística', 'Planejamento de Negócios', 'Pesquisa Online', 'Agricultura', 'Consultoria Pessoal', 'Escrita & Conteúdo', 'Fundamental & Ensino Médio', 'Idiomas', 'Negócios & Finanças', 'Saúde & Fitness', 'Vendas & Marketing', 'Outra - Educação & Consultoria']"
Vinicius M.,"['Business Intelligence', 'Excel', 'Google Analytics']","['Assistente Virtual', 'Planilhas e Relatórios', 'Entrada de Dados', 'Outra - Suporte Administrativo', 'Planejamento de Negócios']"
Gabriel A.,"['Análise de Dados', 'Análise Estatística', 'Ciência de Dados', 'Estatísticas', 'Google Analytics', 'Google Data Studio', 'Modelagem Estatística', 'PostgreSQL', 'Power BI\xa0', 'Python']","['Banco de Dados', 'Planilhas e Relatórios', 'Entrada de Dados', 'Análise de Dados & Estatística', 'Gestão de Projetos']"
Cristiano M.,"['.NET Framework', 'Delphi', 'HTML', 'Javascript', 'PHP', 'Programação C#', 'Python', 'React Native', 'SQL', 'Vue.JS']","['Desenvolvimento Mobile', 'Desenvolvimento Web', 'Cloud Computing', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Alessandro A.,"['Python', 'Ruby on Rails', 'NodeJS', 'Angular', 'Microsoft SQL Server', 'PostgreSQL', 'ABBYY FineReader', 'PHP', 'React', 'React Native']","['Banco de Dados', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Teste de Software', 'Outra - Web, Mobile & Software']"
Andrew S.,"['Amazon Web Services', 'Business Intelligence', 'Javascript', 'MySQL', 'NodeJS', 'Banco de Dados Oracle', 'PHP', 'PostgreSQL', 'Python', 'Vue.JS']","['Banco de Dados', 'Desenvolvimento Web', 'Cloud Computing', 'Teste de Software']"
Diego P.,"['.NET Framework', 'Android', 'iOS', 'Java', 'Programação C#', 'Spring', 'Swift', 'Unity 3D', 'Design de Games', 'Inglês Fluente']","['Banco de Dados', 'Desenvolvimento de Games', 'Desenvolvimento Mobile', 'Cloud Computing', 'Desenvolvimento Desktop']"
Bruna De O.,"['Domínio De Gramática', 'Inglês', 'Pesquisa Científica', 'Redação', 'Tradução', 'Word', 'Análise de Projetos', 'ABBYY FineReader']","['Redação', 'Edição & Revisão', 'Apresentação', 'Análise de Dados & Estatística', 'Escrita & Conteúdo']"
Synue R.,"['AngularJS', 'eCommerce', 'Google Analytics', 'Javascript', 'Marketing', 'MySQL', 'NodeJS', 'NoSQL Couchbase', 'PHP', 'Web Analytics']","['UX/UI & Web Design', 'SEO - Search Engine Optimization', 'Desenvolvimento Web', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Outra - Vendas & Marketing', 'Gestão de Projetos']"
Nathália F.,"['ABBYY FineReader', '4D Dimension', 'Python']","['Banco de Dados', 'Outra - Web, Mobile & Software', 'Gestão de Projetos', 'Tecnologia da Informação']"
Wallace P.,"['ETL', 'Excel', 'Excel Macros', 'Excel VBA', 'Microsoft SQL Server', 'Pentaho', 'Power BI\xa0', 'PowerBI', 'Python', 'SQL']","['Banco de Dados', 'Pesquisa de Mercado', 'Cloud Computing', 'Análise de Dados & Estatística']"
Marcelo S.,"['Acronis', 'Active Directory', 'Criativo', 'Windows Server', 'Wireless', 'Administração de Redes', 'Atualização De Site', 'Edição de Vídeo', 'Suporte Técnico', 'Design de Website']","['Atendimento ao Consumidor', 'Assistente Virtual', 'Outra - Suporte Administrativo', 'Suporte Técnico', 'Pesquisa Online']"
Isabelle G.,"['Nutrição', 'Adobe Photoshop', 'Redação', 'Redação de Artigos', 'Tradução']","['Ilustração', 'Redação', 'Inglês', 'Apresentação', 'Rótulos e Embalagens']"
Paulo A.,"['Agilidade', 'Análise de Requisitos', 'Entrada de Dados', 'Levantamento de Requisitos', 'QA / Testes', 'Teste de Software', 'Usabilidade']","['Banco de Dados', 'Marketing Digital', 'Teste de Software', 'Outra - Web, Mobile & Software', 'Entrada de Dados']"
Rodrigo A.,"['CSS3', 'HTML5', 'Java', 'MySQL', 'Banco de Dados Oracle', 'PostgreSQL', 'Spring', 'Angular', 'NoSQL Couchbase']","['UX/UI & Web Design', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Teste de Software', 'Outra - Web, Mobile & Software']"
Felipe F.,"['PHP', 'Java', 'JSON', 'MySQL', 'PostgreSQL', 'Administração de Banco de Dados', 'Administração PostgreSQL', 'Algoritmo', 'Análise de Sistemas', 'Ciência de Dados']","['Banco de Dados', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Tulio B.,"['Google ADS', 'Análise de Métricas', 'Análise de Projetos', 'Mídias Sociais', 'Neuromarketing', 'Pesquisa de Marketing', 'Pesquisa de Mercado', 'Planejamento de Marketing', 'Planejamento de Mídia', 'Planejamento e Compra de Anúncios', 'Plano de Mídia', 'Publicidade']","['Banco de Dados', 'SEO - Search Engine Optimization', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Pesquisa de Mercado', 'Desenvolvimento Desktop', 'Outra - Vendas & Marketing']"
Phelipe M.,"['Business Intelligence', 'Gestão Da Marca', 'Mídias Sociais', 'Monitoramento', 'Monitoramento']","['UX/UI & Web Design', 'Atendimento ao Consumidor', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Pesquisa de Mercado', 'Outra - Vendas & Marketing']"
Lucas B.,"['Digitação', 'Inglês Fluente', 'Python', 'Revisão De Inglês', 'Revisão De Texto', 'Programação C', 'Marketing de Conteúdo', 'SQL']","['Banco de Dados', 'Redação', 'Inglês', 'Marketing Digital', 'Engenharia Elétrica & Eletrônica']"
Daniel H.,"['Visual Basic', 'Wordpress', 'AJAX', 'CSS3', 'Python', 'Javascript', 'PHP', 'Symfony PHP', 'jQuery', 'NodeJS']","['Desenvolvimento Web', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software', 'Gestão de Projetos', 'Financeiro']"
Rafaela B.,"['Análise de Projetos', 'Análise de Requisitos', 'Gerenciamento de Projetos', 'Python']","['Banco de Dados', 'SEO - Search Engine Optimization', 'Gestão de Projetos']"
Marcelo S.,"['MySQL', 'PHP', 'Microsoft SQL Server', 'Linux', 'Python', 'ABAP', 'A&P', 'ABBYY FineReader']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Web', 'Cloud Computing']"
Eduardo R.,"['Business Intelligence', 'Microsoft SQL Server']","['UX/UI & Web Design', 'Banco de Dados', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Cloud Computing', 'Outra - Web, Mobile & Software', 'Gestão de Projetos']"
Paula P.,"['Android', 'Mineração de Dados', 'ABBYY FineReader', 'iOS', 'Python']","['Desenvolvimento Mobile', 'Edição & Revisão', 'Marketing Digital', 'Edição de Imagens', 'Outra - Web, Mobile & Software']"
Paula C.,['Atendimento ao Cliente'],"['UX/UI & Web Design', 'Redação', 'Edição & Revisão', 'Desenvolvimento Web', 'Atendimento ao Consumidor', 'Teste de Software', 'Assistente Virtual']"
Leonidas G.,"['Excel', 'Business Intelligence', 'MySQL', 'Banco De Dados', 'Sharepoint', '.NET para Web', 'Cloud Computing', 'Entrada de Dados', '4D Dimension', 'Python']","['Banco de Dados', 'Desenvolvimento Web', 'Planilhas e Relatórios', 'Entrada de Dados', 'Análise de Dados & Estatística']"
Dayse L.,"['Administração', 'Assistente Virtual', 'Atendimento ao Cliente', 'Banco De Dados', 'Digitação', 'Excel', 'Edição de Textos', 'Microsoft Access', 'MySQL', 'PeopleSoft']","['Atendimento ao Consumidor', 'Assistente Virtual', 'Planilhas e Relatórios', 'Entrada de Dados', 'Suporte Técnico']"
Elton G.,"['Inglês Avançado', 'Análise de Negócios', 'Auditoria Externa', 'Big Data', 'Estratégia de Negócios', 'InCopy', 'Plano de Negócios', 'Power BI\xa0', 'SQL']","['Edição & Revisão', 'Planilhas e Relatórios', 'Tributação', 'Planejamento de Negócios', 'Copywriting']"
Arthur G.,"['Excel', 'Produção', 'Visual Basic', 'MongoDB', 'Power BI\xa0', 'Powerpoint', 'Python', 'SAS', 'SQL', 'Tableau']","['Banco de Dados', 'Desenvolvimento Desktop', 'Planilhas e Relatórios', 'Modelagem 3D & CAD', 'Planejamento de Negócios']"
